,id,PMID Link,DOI Link,PMID,DOI,Title,Abstract,Authors,Affiliations,Year,Date,Journal,Citations
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35120333""","""None""","""35120333""","""None""","""RBAC and Its Role with the Immune System""","""Context:   Rice Bran Arabinoxylan Compound (RBAC) is a trusted and proven immunomodulator made from a rice bran extract that has been enzymatically modified with an enzyme complex from the shiitake mushroom.  Objective:   The study's primary objective was to identify the role of RBAC in supporting cancer therapies.  Design:   The author designed an open study.  Participants:   Participants were 14 patients who are suffering from various type of malignancies.  Intervention:   BRM4 capsules-a commercially available, proprietary RBAC supplement-were administered.  Outcome measures:   The study measured circulating tumor cells (CTC) and tumor markers-the prostate-specific antigen (PSA) and cancer antigens 125 (CA125) 15-3 (CA15-3), and 27-29 (CA27-29) for the relevant malignancy.  Results:   Twelve out of 14 participants completed the protocol, and two participants died during the study. Of the 12 participants completing the study, the CTC levels were reduced in 10, with a statistically significant difference between the testing at baseline and postintervention (P = .0047). The tumor markers of various malignancies decreased for nine out the 12 participants, and one participant experienced remission.  Conclusions:   The results suggest that the product can be an effective immunomodulator that can complement conventional cancer treatment.""","""['Fred Pescatore', 'Carmelo Prestano', 'Malka Kichikova']""","""[]""","""2022""","""None""","""Altern Ther Health Med""","""['The Health-Promoting Properties and Clinical Applications of Rice Bran Arabinoxylan Modified with Shiitake Mushroom Enzyme-A Narrative Review.', 'Cardiovascular, endothelial function, and immune markers in response to treatment with a polysaccharide in HIV+ adults in a randomized, double-blind placebo-controlled trial.', 'RETRACTED ARTICLE: The Novel Effects of a Hydrolyzed Polysaccharide Dietary Supplement on Immune, Hepatic, and Renal Function in Adults with HIV in a Randomized, Double-Blind Placebo-Control Trial.', 'The Novel Effects of a Hydrolyzed Polysaccharide Dietary Supplement on Immune, Hepatic, and Renal Function in Adults with HIV in a Randomized, Double-Blind, Placebo-Control Trial.', 'Shiitake dermatitis: a report of 3 cases and review of the literature.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35120087""","""None""","""35120087""","""None""","""When to use germline genetic testing in prostate cancer""","""None""","""['Veda N Giri']""","""[]""","""2022""","""None""","""Clin Adv Hematol Oncol""","""['Clinical Multigene Testing for Prostate Cancer.', 'Germline testing in those at risk of prostate cancer.', 'Mainstream germline genetic testing in men with metastatic prostate cancer: design and protocol for a multicenter observational study.', 'Association of a novel BRCA2 mutation with prostate cancer risk further supports germline genetic testing.', 'Germline testing and genetic counselling in prostate cancer.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35119778""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc8815402/""","""35119778""","""PMC8815402""","""Optimization of small extracellular vesicle isolation from expressed prostatic secretions in urine for in-depth proteomic analysis""","""The isolation and subsequent molecular analysis of extracellular vesicles (EVs) derived from patient samples is a widely used strategy to understand vesicle biology and to facilitate biomarker discovery. Expressed prostatic secretions in urine are a tumor proximal fluid that has received significant attention as a source of potential prostate cancer (PCa) biomarkers for use in liquid biopsy protocols. Standard EV isolation methods like differential ultracentrifugation (dUC) co-isolate protein contaminants that mask lower-abundance proteins in typical mass spectrometry (MS) protocols. Further complicating the analysis of expressed prostatic secretions, uromodulin, also known as Tamm-Horsfall protein (THP), is present at high concentrations in urine. THP can form polymers that entrap EVs during purification, reducing yield. Disruption of THP polymer networks with dithiothreitol (DTT) can release trapped EVs, but smaller THP fibres co-isolate with EVs during subsequent ultracentrifugation. To resolve these challenges, we describe here a dUC method that incorporates THP polymer reduction and alkaline washing to improve EV isolation and deplete both THP and other common protein contaminants. When applied to human expressed prostatic secretions in urine, we achieved relative enrichment of known prostate and prostate cancer-associated EV-resident proteins. Our approach provides a promising strategy for global proteomic analyses of urinary EVs.""","""['Vanessa L Correll', 'Joseph J Otto', 'Cristina M Risi', 'Brian P Main', 'Paul C Boutros', 'Thomas Kislinger', 'Vitold E Galkin', 'Julius O Nyalwidhe', 'O John Semmes', 'Lifang Yang']""","""[]""","""2022""","""None""","""J Extracell Vesicles""","""['Urinary Extracellular Vesicles: Ultracentrifugation Method.', 'Identification of prostate-enriched proteins by in-depth proteomic analyses of expressed prostatic secretions in urine.', 'KeepEX, a simple dilution protocol for improving extracellular vesicle yields from urine.', 'Extracellular Vesicle Proteome in Prostate Cancer: A Comparative Analysis of Mass Spectrometry Studies.', 'Extracellular vesicles: the next generation of biomarkers for liquid biopsy-based prostate cancer diagnosis.', 'Evolving utility of exosomes in pancreatic cancer management.', 'Recent developments in isolating methods for exosomes.', 'Impaired Autophagy Response in Hepatocellular Carcinomas Enriches Glypican-3 in Exosomes, Not in the Microvesicles.', 'Extracellular Vesicle-Based Method for Detecting MYCN Amplification Status of Pediatric Neuroblastoma.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35119703""","""https://doi.org/10.1002/cncr.34122""","""35119703""","""10.1002/cncr.34122""","""Cancer disparities among non-Hispanic urban American Indian and Alaska Native populations in the United States, 1999-2017""","""Background:   Disparities in cancer incidence have not been described for urban American Indian/Alaska Native (AI/AN) populations. The purpose of the present study was to examine incidence rates (2008-2017) and trends (1999-2017) for leading cancers in urban non-Hispanic AI/AN (NH AI/AN) compared to non-Hispanic White (NHW) populations living in the same urban areas.  Methods:   Incident cases from population-based cancer registries were linked with the Indian Health Service patient registration database for improved racial classification of NH AI/AN populations. This study was limited to counties in Urban Indian Health Organization service areas. Analyses were conducted by geographic region. Age-adjusted rates (per 100,000) and trends (joinpoint regression) were calculated for leading cancers.  Results:   Rates of colorectal, liver, and kidney cancers were higher overall for urban NH AI/AN compared to urban NHW populations. By region, rates of these cancers were 10% to nearly 4 times higher in NH AI/AN compared to NHW populations. Rates for breast, prostate, and lung cancer were lower in urban NH AI/AN compared to urban NHW populations. Incidence rates for kidney, liver, pancreatic, and breast cancers increased from 2% to nearly 7% annually between 1999 to 2017 in urban NH AI/AN populations.  Conclusions:   This study presents cancer incidence rates and trends for the leading cancers among urban NH AI/AN compared to urban NHW populations for the first time, by region, in the United States. Elevated risk of certain cancers among urban NH AI/AN populations and widening cancer disparities highlight important health inequities and missed opportunities for cancer prevention in this population.""","""['Stephanie C Melkonian', 'Melissa A Jim', 'Dornell Pete', 'Amy Poel', 'Adrian E Dominguez', 'Abigail Echo-Hawk', 'Stephanie Zhang', 'Reda J Wilson', 'Donald Haverkamp', 'Lindsey Petras', 'Ashley Pohlenz']""","""[]""","""2022""","""None""","""Cancer""","""['Incidence of and Trends in the Leading Cancers With Elevated Incidence Among American Indian and Alaska Native Populations, 2012-2016.', 'Disparities in Cancer Incidence and Trends among American Indians and Alaska Natives in the United States, 2010-2015.', 'Disparities in Breast-Conserving Therapy for Non-Hispanic American Indian/Alaska Native Women Compared with Non-Hispanic White Women.', 'Health Disparities in Cancer Among American Indians and Alaska Natives.', 'Maternal Mortality Among American Indian/Alaska Native Women: A Scoping Review.', 'Cancer Progress and Priorities: Gastric Cancer.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35119557""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc8816989/""","""35119557""","""PMC8816989""","""Preclinical biodistribution and dosimetry and human biodistribution comparing 18F-rhPSMA-7 and single isomer 18F-rhPSMA-7.3""","""Background:   Radiohybrid prostate-specific membrane antigen (rhPSMA) ligands such as 18F-rhPSMA-7 are a new class of theranostic agents in clinical development for prostate cancer. We compared preclinical dosimetry and human biodistribution of 18F-rhPSMA-7 with that of single diastereoisomer form, 18F-rhPSMA-7.3.  Methods:   Preclinical dosimetry was performed with SCID-mice sacrificed at multiple timepoints (10-300 min) post-injection of 25.6 ± 3.6 MBq 18F-rhPSMA-7 or 28.5 ± 4.8 MBq 18F-rhPSMA-7.3 (n = 3-6 mice per timepoint). Heart, lung, liver, spleen, pancreas, fat, stomach, small intestine, large intestine, kidney, muscle, bone, bladder, testicles, tail, and brain tissue were harvested, and urine and blood samples collected. Percentage of injected dose per gram was calculated. Absorbed doses were estimated with OLINDA/EXM 1.0. 18F-rhPSMA-7 (n = 47) and 18F-rhPSMA-7.3 (n = 33) PET/CT exams were used to estimate human biodistribution. Mean (range) injected activities were 324 (236-424) MBq versus 345 (235-420) MBq, and acquisition times were 84 (42-166) versus 76 (59-122) minutes for 18F-rhPSMA-7 versus 18F-rhPSMA-7.3, respectively. SUVmean was determined for background (gluteal muscle), normal organs (salivary glands, blood pool, lung, liver, spleen, pancreas, duodenum, kidney, bladder, bone) and up to three representative tumour lesions. Qualitative analyses assessed image quality, non-specific blood pool activity, and background uptake in bone/marrow using 3/4-point scales.  Results:   Preclinical dosimetry revealed that at 3.5 h and 1 h bladder voiding intervals, the extrapolated total effective doses were 26.6 and 12.2 µSv/MBq for 18F-rhPSMA-7 and 21.7 and 12.8 µSv/MBq for 18F-rhPSMA-7.3 respectively. Human biodistribution of both agents was typical of other PSMA-ligands and broadly similar to each other; SUVmean were 16.9 versus 16.2 (parotid gland), 19.6 versus 19.9 (submandibular gland), 2.0 versus 1.9 (blood pool, p < 0.005), 0.7 versus 0.7 (lungs), 7.0 versus 7.3 (liver), 9.1 versus 8.4 (spleen), 32.4 versus 35.7 (kidney), 2.5 versus 2.8 (pancreas), 10.9 versus 11.0 (duodenum), 1.1 versus 1.3 (bone) and 4.6 versus 2.0 (bladder; p < 0.001) for 18F-rhPSMA-7 versus 18F-rhPSMA-7.3, respectively. Tumour SUVmean was higher for 18F-rhPSMA-7.3 (32.5 ± 42.7, n = 63 lesions) than for 18F-rhPSMA-7 (20.0 ± 20.2, n = 89 lesions).  Conclusions:   Radiation dosimetry is favourable for both agents. Radiation exposure, assuming a 1 h voiding interval, is less than 5 mSv after injection of 370 MBq. 18F-rhPSMA-7.3 showed significantly lower bladder uptake, and a higher uptake trend in tumours compared with 18F-rhPSMA-7.""","""['Karina Knorr', 'So Won Oh', 'Markus Krönke', 'Alexander Wurzer', ""Calogero D'Alessandria"", 'Michael Herz', 'Wolfgang Weber', 'Hans-Jürgen Wester', 'Matthias Eiber', 'Nahid Yusufi#', 'Stephan Nekolla#']""","""[]""","""2022""","""None""","""EJNMMI Res""","""['Quantitative and Qualitative Analyses of Biodistribution and PET Image Quality of a Novel Radiohybrid PSMA, 18F-rhPSMA-7, in Patients with Prostate Cancer.', 'Comparative Preclinical Biodistribution, Dosimetry, and Endoradiotherapy in Metastatic Castration-Resistant Prostate Cancer Using 19F/177Lu-rhPSMA-7.3 and 177Lu-PSMA I&T.', 'Safety, Biodistribution, and Radiation Dosimetry of 18F-rhPSMA-7.3 in Healthy Adult Volunteers.', 'Pretherapeutic Comparative Dosimetry of 177Lu-rhPSMA-7.3 and 177Lu-PSMA I&T in Patients with Metastatic Castration-Resistant Prostate Cancer.', 'Ultrasound Guided Surgery as a Refinement Tool in Oncology Research.', '177 Lu-rhPSMA-10.1 Induces Tumor Response in a Patient With mCRPC After PSMA-Directed Radioligand Therapy With 177 Lu-PSMA-I&T.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35119498""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9374793/""","""35119498""","""PMC9374793""","""Comparison of characteristics and tumor targeting properties of extracellular vesicles derived from primary NK cells or NK-cell lines stimulated with IL-15 or IL-12/15/18""","""NK cell-based therapies have shown promise for hematological cancer forms, but their use against solid tumors is hampered by their poor ability to infiltrate the tumor. NK cells release extracellular vesicles (EVs) containing cytolytic proteins, indicating that NK-cell derived EVs may have therapeutic potential. In this study, we compared the tumor-targeting potential of EVs derived from either primary NK cells or the NK cell lines NK-92 and KHYG-1 cultured in IL-15 alone or in combination with IL-12 and IL-18. Primary NK cells were also stimulated through the activating receptor CD16. Tumor cell apoptosis was measured using a panel of human colon, melanoma, glioblastoma, prostate, breast, and ovarian tumor cell line spheroids. NK cells or NK-92 cells stimulated with IL-12, IL-15, and IL-18 generated EVs with higher efficiency than EVs from resting cells, although similar amounts of EVs were produced under both conditions. Proteomic analysis indicated similar distribution of cytolytic proteins in EVs from primary NK cells and NK-92, but lower levels in KHYG-1 EVs that translated into poor capacity for KHYG-1 EVs at targeting tumor cell lines. Further, we show that CD16-stimulated NK cells release low amounts of EVs devoid of cytolytic proteins. Importantly, EVs from cytokine-stimulated NK cells penetrate into the spheroid core, and tumor spheroid susceptibility to NK-cell derived EVs was linked to differential expression of the NKG2D ligands MICA/B, which was blocked with an anti-NKG2D antibody. We conclude that EVs from activated primary NK cells or NK-92 cells has the best potential to infiltrate and target solid tumors.""","""['Miriam Aarsund', 'Filip M Segers', 'Yunjie Wu', 'Marit Inngjerdingen']""","""[]""","""2022""","""None""","""Cancer Immunol Immunother""","""['Natural Killer Cell-Derived Extracellular Vesicles as a Promising Immunotherapeutic Strategy for Cancer: A Systematic Review.', 'Enhancement of antitumor potency of extracellular vesicles derived from natural killer cells by IL-15 priming.', 'Cytokine-enhanced cytolytic activity of exosomes from NK Cells.', 'Impact on NK cell functions of acute versus chronic exposure to extracellular vesicle-associated MICA: Dual role in cancer immunosurveillance.', 'Interleukin-18 synergism with interleukin-2 in cytotoxicity and NKG2D expression of human natural killer cells.', 'Research progress in leveraging biomaterials for enhancing NK cell immunotherapy.', 'In vitro models to study natural killer cell dynamics in the tumor microenvironment.', 'Opportunities and challenges of natural killer cell-derived extracellular vesicles.', 'Natural Killer Cell-Derived Extracellular Vesicles as a Promising Immunotherapeutic Strategy for Cancer: A Systematic Review.', 'Exosomal Communication Between the Tumor Microenvironment and Innate Immunity and Its Therapeutic Application.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35119046""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc8812703/""","""35119046""","""PMC8812703""","""Bioinformatics analysis of the clinical relevance of CDCA gene family in prostate cancer""","""Background:   Prostate cancer (PCa) is the second most frequent cancer in men worldwide, and its mortality rate is increasing every year. The cell division cycle-associated (CDCA) gene family plays vital roles in the cell cycle process, but an analysis of these proteins in PCa is still lacking.  Methods:   UALCAN and GEPIA were used to examine the transcriptional data and survival of the CDCA gene family in PCa patients. CDCA genetic alterations, prognostic value of genetic alterations, and correlations of CDCAs with each other in PCa were downloaded from cBioPortal. The functional enrichment data of CDCA-related genes were analyzed using DAVID.  Results:   Six CDCA genes were upregulated in PCa tissues relative to those in normal tissues (P < .001), including NUF2, CDCA2, CDCA3, CDCA5, CBX2, and CDCA8. The expression levels of the 6 CDCAs were related to the tumor Gleason score (P < .05). In addition, survival analysis using GEPIA suggested that PCa patients with increased NUF2, CBX2, and CDCA2/3/5/8 expression levels had poor relapse-free survival (P < .05). Distinct patterns of genetic alterations of the 6 CDCAs were observed in PCa, and pairwise comparison of the mRNA expression of the 6 CDCAs displayed a close relationship. The biological functions of CDCA-related genes are principally associated with the activation of the following pathways: cell cycle, Fanconi anemia pathway, microRNAs in cancer, oocyte meiosis, and homologous recombination.  Conclusions:   Upregulated CDCA (NUF2, CBX2, and CDCA2/3/5/8) expression in PCa tissues may play a crucial role in the occurrence of PCa. These CDCAs can predict relapse-free survival prognosis and the Gleason score of patients with PCa. Moreover, CDCAs probably exert their functions in tumorigenesis through the cell cycle and miRNAs in the cancer pathway.""","""['Peng Gu', 'Dongrong Yang', 'Jin Zhu', 'Minhao Zhang', 'Xiaoliang He']""","""[]""","""2022""","""None""","""Medicine (Baltimore)""","""['Integrate analysis of the promote function of Cell division cycle-associated protein family to pancreatic adenocarcinoma.', 'Analysis of the Expression of Cell Division Cycle-Associated Genes and Its Prognostic Significance in Human Lung Carcinoma: A Review of the Literature Databases.', 'Systematic Analysis of the Clinical Relevance of Cell Division Cycle Associated Family in Endometrial Carcinoma.', 'Bioinformatics analysis identified hub genes in prostate cancer tumorigenesis and metastasis.', 'MicroRNAs and epithelial-mesenchymal transition in prostate cancer.', 'Pan-cancer analysis identifies CDCA3 as a novel prognostic marker associated with immune infiltration in lung adenocarcinoma through bioinformatics analysis.', 'An Integrated Bioinformatics Analysis towards the Identification of Diagnostic, Prognostic, and Predictive Key Biomarkers for Urinary Bladder Cancer.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35118933""","""https://doi.org/10.1080/07391102.2022.2032353""","""35118933""","""10.1080/07391102.2022.2032353""","""Computational approaches for evaluation of isobavachin as potential inhibitor against t877a and w741l mutations in prostate cancer""","""Prostate cancer is the World's second most common cancer, with the fifth-highest male mortality rate. Point mutations such as T877A and W741L are frequently seen in advanced prostate cancer patients, conferring drug-resistance and hence driving cancer growth. Such occurrence of drug resistance in prostate cancer necessitates designing of suitable ligands to ensure better interactions with the receptors which can block the progression of the disease. The present study focus on the modification of plant-derived flavonoids that might act as inhibitors against such point mutations namely, T877A and W741L. In T877A mutation threonine is substituted by alanine at the 877 codon and W741L mutation, tryptophan is substituted by lysine at the 741 codon in prostate cancer. The study revolved on the aspect of the evaluation of Isobavachin and its derivatives as a potential agent to tackle such point mutations by using the in silico approach. A total of 98 molecular dockings were performed to find the ligand-receptor complexes with the lowest binding energy employing Autodock Software to conduct the blind and site-specific docking. Additionally, ligands were screened for Drug-likeness and toxicity using several tools yielding eight possible drug candidates. Based on the results of Molecular Docking, Drug-likeness, and ADMET testing, ten structures, including six complexes and three receptors were subjected to molecular dynamics simulation of 100 ns covering RMSD, RMSF, Rg, and MM/PBSA. Based on the simulation results, Isobavachin, IsoMod4, and IsoMod7 were concluded to be stable and exhibited potential properties for developing a novel drug to combat prostate cancer and its associated drug-resistance.Communicated by Ramaswamy H. Sarma.""","""['Rene Barbie Browne', 'Nabajyoti Goswami', 'Probodh Borah', 'Jayanti Datta Roy']""","""[]""","""2023""","""None""","""J Biomol Struct Dyn""","""['Syringaresinol as a novel androgen receptor antagonist against wild and mutant androgen receptors for the treatment of castration-resistant prostate cancer: molecular docking, in-vitro and molecular dynamics study.', 'New Insights into the Binding Mechanism of Co-regulator BUD31 to AR AF2 Site: Structural Determination and Analysis of the Mutation Effect.', 'Broadened ligand responsiveness of androgen receptor mutants obtained by random amino acid substitution of H874 and mutation hot spot T877 in prostate cancer.', 'Structure Based docking studies towards exploring potential anti-androgen activity of selected phytochemicals against Prostate Cancer.', 'The antiandrogen bicalutamide activates the androgen receptor (AR) with a mutation in codon 741 through the mitogen activated protein kinase (MARK) pathway in human prostate cancer PC3 cells.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35118821""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9099123/""","""35118821""","""PMC9099123""","""Effect of enzalutamide on PK of P-gp and BCRP substrates in cancer patients: CYP450 induction may not always predict overall effect on transporters""","""Drug-drug interaction (DDI) is an important consideration for clinical decision making in prostate cancer treatment. The objective of this study was to evaluate the effect of enzalutamide, an oral androgen receptor inhibitor, on the pharmacokinetics (PK) of digoxin (P-glycoprotein [P-gp] probe substrate) and rosuvastatin (breast cancer resistance protein [BCRP] probe substrate) in men with metastatic castration-resistant prostate cancer (mCRPC). This was a phase I, open-label, fixed-sequence, crossover study (NCT04094519). Eligible men with mCRPC received a single dose of transporter probe cocktail containing 0.25 mg digoxin and 10 mg rosuvastatin plus enzalutamide placebo-to-match on day 1. On day 8, patients started 160 mg enzalutamide once daily through day 71. On day 64, patients also received a single dose of the cocktail. The primary end points were digoxin and rosuvastatin plasma maximum concentration (Cmax ), area under the concentration-time curve from the time of dosing to the last measurable concentration (AUClast ), and AUC from the time of dosing extrapolated to time infinity (AUCinf ). Secondary end points were enzalutamide and N-desmethyl enzalutamide (metabolite) plasma Cmax , AUC during a dosing interval, where tau is the length of the dosing interval (AUCtau ), and concentration immediately prior to dosing at multiple dosing (Ctrough ). When administered with enzalutamide, there was a 17% increase in Cmax , 29% increase in AUClast , and 33% increase in AUCinf of plasma digoxin compared to digoxin alone, indicating that enzalutamide is a ""mild"" inhibitor of P-gp. No PK interaction was observed between enzalutamide and rosuvastatin (BCRP probe substrate). The PK of enzalutamide and N-desmethyl enzalutamide were in agreement with previously reported data. The potential for transporter-mediated DDI between enzalutamide and digoxin and rosuvastatin is low in men with prostate cancer. Therefore, concomitant administration of enzalutamide with medications that are substrates for P-gp and BCRP does not require dose adjustment in this patient population.""","""['Srinivasu Poondru', 'Vitalii Ghicavii', 'Reza Khosravan', 'Pooja Manchandani', 'Nakyo Heo', 'Selina Moy', 'Tomasz Wojtkowski', 'Melanie Patton', 'Gabriel P Haas']""","""[]""","""2022""","""None""","""Clin Transl Sci""","""['Impact of fedratinib on the pharmacokinetics of transporter probe substrates using a cocktail approach.', 'Pharmacokinetic Evaluation of a Drug Transporter Cocktail Consisting of Digoxin, Furosemide, Metformin, and Rosuvastatin.', 'Effect of capmatinib on the pharmacokinetics of digoxin and rosuvastatin administered as a 2-drug cocktail in patients with MET-dysregulated advanced solid tumours: A phase I, multicentre, open-label, single-sequence drug-drug interaction study.', 'ABCG2/BCRP: variants, transporter interaction profile of substrates and inhibitors.', 'Drug-Drug Interactions of P-gp Substrates Unrelated to CYP Metabolism.', 'Physiologically-based pharmacokinetic modeling to predict drug-drug interaction of enzalutamide with combined P-gp and CYP3A substrates.', 'Pharmacokinetic Interactions Between Abiraterone, Apalutamide, Darolutamide or Enzalutamide and Antithrombotic Drugs: Prediction of Clinical Events and Review of Pharmacological Information.']"""
0,0,"""https://pubmed.ncbi.nlm.nih.gov/35118769""","""http://www.ncbi.nlm.nih.gov/pmc/articles/pmc9128173/""","""35118769""","""PMC9128173""","""An oral first-in-class small molecule RSK inhibitor suppresses AR variants and tumor growth in prostate cancer""","""Ribosomal S6 kinase has been shown to play a key role in cellular resistance to endocrine therapy in prostate cancer through its regulation of YB-1/androgen receptor (AR) signaling. PMD-026, an oral first-in-class small molecule kinase inhibitor, is the first identified ribosomal S6 kinase inhibitor. This study investigated the effect of PMD-026 on YB-1/AR signaling and its antitumor effect in prostate cancer in vitro and in vivo. Castration-resistant prostate cancer 22Rv1 cells that express high-level AR variants were used in this study. The effect of PMD-026 on YB-1/AR signaling was investigated by quantitative real-time PCR and western blot analysis. The effects of PMD-026 on prostate cancer cells were investigated by cytotoxicity analysis, apoptosis assay, and cell cycle assay in vitro and a mouse castration model in vivo. PMD-026 decreased YB-1 phosphorylation as well as AR V7 mRNA and AR variant expressions in 22Rv1 cells. PMD-026 suppressed cell proliferation alone and in combination with the second-generation antiandrogens enzalutamide and darolutamide by inducing cellular apoptosis and G2/M arrest. In a mouse xenograft model, PMD-026 suppressed tumor growth, and the combination of PMD-026 and enzalutamide inhibited tumor growth more prominently than single treatments. Our results demonstrate an excellent antitumor effect of the novel ribosomal S6 kinase inhibitor PMD-026 and the combination effect with the antiandrogen enzalutamide in castration-resistant prostate cancer. These findings warrant a clinical trial of PMD-026 in prostate cancer patients.""","""['Miho Ushijima', 'Masaki Shiota', 'Takashi Matsumoto', 'Eiji Kashiwagi', 'Junichi Inokuchi', 'Masatoshi Eto']""","""[]""","""2022""","""None""","""Cancer Sci""","""['Inhibition of RSK/YB-1 signaling enhances the anti-cancer effect of enzalutamide in prostate cancer.', 'Niclosamide inhibits androgen receptor variants expression and overcomes enzalutamide resistance in castration-resistant prostate cancer.', 'Potential Role for YB-1 in Castration-Resistant Prostate Cancer and Resistance to Enzalutamide Through the Androgen Receptor V7.', 'Exploitation of the Androgen Receptor to Overcome Taxane Resistance in Advanced Prostate Cancer.', 'Understanding the mechanisms of androgen deprivation resistance in prostate cancer at the molecular level.', 'Inhibition of p90 ribosomal S6 kinases disrupts melanoma cell growth and immune evasion.', 'YB-1 activating cascades as potential targets in KRAS-mutated tumors.', 'ERK1/2-RSK2 Signaling in Regulation of ERα-Mediated Responses.']"""
