,id,PMID Link,DOI Link,PMID,DOI,Title,Abstract,Authors,Affiliations,Year,Date,Journal,Citations
0,0,"""https://pubmed.ncbi.nlm.nih.gov/36606496""","""https://doi.org/10.1002/pst.2283""","""36606496""","""10.1002/pst.2283""","""Vaccine clinical trials with dynamic borrowing of historical controls: Two retrospective studies""","""Traditional vaccine efficacy trials usually use fixed designs with fairly large sample sizes. Recruiting a large number of subjects requires longer time and higher costs. Furthermore, vaccine developers are more than ever facing the need to accelerate vaccine development to fulfill the public's medical needs. A possible approach to accelerate development is to use the method of dynamic borrowing of historical controls in clinical trials. In this paper, we evaluate the feasibility and the performance of this approach in vaccine development by retrospectively analyzing two real vaccine studies: a relatively small immunological trial (typical early phase study) and a large vaccine efficacy trial (typical Phase 3 study) assessing prophylactic human papillomavirus vaccine. Results are promising, particularly for early development immunological studies, where the adaptive design is feasible, and control of type I error is less relevant.""","""['Andrea Callegaro', 'Naveen Karkada', 'Emmanuel Aris', 'Toufik Zahaf']""","""[' Department of Biostatistics, GSK, Rixensart, Belgium.']""","""2023""","""2023 Jan""","""Pharm Stat""","""['Critical appraisal of Bayesian dynamic borrowing from an imperfectly commensurate historical control.', 'Bayesian Dynamic Borrowing of Historical Information with Applications to the Analysis of Large-Scale Assessments.', 'Use of historical control data for assessing treatment effects in clinical trials.', 'Innovative trial designs and analyses for vaccine clinical development.', 'Leveraging historical data into oncology development programs: Two case studies of phase 2 Bayesian augmented control trial designs.']"""
1,1,"""https://pubmed.ncbi.nlm.nih.gov/36604329""","""https://doi.org/10.1007/s00330-022-09367-1""","""36604329""","""10.1007/s00330-022-09367-1""","""Fetal MRI radiomics: non-invasive and reproducible quantification of human lung maturity""","""Objectives:   To assess the reproducibility of radiomics features extracted from the developing lung in repeated in-vivo fetal MRI acquisitions.  Methods:   In-vivo MRI (1.5 Tesla) scans of 30 fetuses, each including two axial and one coronal T2-weighted sequences of the whole lung with all other acquisition parameters kept constant, were retrospectively identified. Manual segmentation of the lungs was performed using ITK-Snap. One hundred radiomics features were extracted from fetal lung MRI data using Pyradiomics, resulting in 90 datasets. Intra-class correlation coefficients (ICC) of radiomics features were calculated between baseline and repeat axial acquisitions and between baseline axial and coronal acquisitions.  Results:   MRI data of 30 fetuses (12 [40%] females, 18 [60%] males) at a median gestational age of 24 + 5 gestational weeks plus days (GW) (interquartile range [IQR] 3 + 3 GW, range 21 + 1 to 32 + 6 GW) were included. Median ICC of radiomics features between baseline and repeat axial MR acquisitions was 0.92 (IQR 0.13, range 0.33 to 1), with 60 features exhibiting excellent (ICC > 0.9), 27 good (> 0.75-0.9), twelve moderate (0.5-0.75), and one poor (ICC < 0.5) reproducibility. Median ICC of radiomics features between baseline axial and coronal MR acquisitions was 0.79 (IQR 0.15, range 0.2 to 1), with 20 features exhibiting excellent, 47 good, 29 moderate, and four poor reproducibility.  Conclusion:   Standardized in-vivo fetal MRI allows reproducible extraction of lung radiomics features. In the future, radiomics analysis may improve diagnostic and prognostic yield of fetal MRI in normal and pathologic lung development.  Key points:   • Non-invasive fetal MRI acquired using a standardized protocol allows reproducible extraction of radiomics features from the developing lung for objective tissue characterization. • Alteration of imaging plane between fetal MRI acquisitions has a negative impact on lung radiomics feature reproducibility. • Fetal MRI radiomics features reflecting the microstructure and shape of the fetal lung could complement observed-to-expected lung volume in the prediction of postnatal outcome and optimal treatment of fetuses with abnormal lung development in the future.""","""['Florian Prayer', 'Martin L Watzenböck', 'Benedikt H Heidinger', 'Julian Rainer', 'Victor Schmidbauer', 'Helmut Prosch', 'Barbara Ulm', 'Erika Rubesova', 'Daniela Prayer', 'Gregor Kasprian']""","""[' Department of Biomedical Imaging and Image-Guided Therapy, Medical University of Vienna, Spitalgasse 23, 1090, Vienna, Austria.', ' Department of Obstetrics and Gynecology, Medical University of Vienna, Spitalgasse 23, 1090, Vienna, Vienna, Austria.', "" Department of Pediatric Radiology, Lucile Packard Children's Hospital at Stanford, Stanford University, 725 Welch Road, Stanford, CA, 94305, USA."", ' Imaging Bellaria, Bellariastrasse 3, 1010, Vienna, Austria.', ' Department of Biomedical Imaging and Image-Guided Therapy, Medical University of Vienna, Spitalgasse 23, 1090, Vienna, Austria. gregor.kasprian@meduniwien.ac.at.']""","""2023""","""2023 Jan""","""Eur Radiol""","""['Reproducibility of 2D versus 3D radiomics for quantitative assessment of fetal lung development: a retrospective fetal MRI study.', 'Reliability of MRI radiomics features in MR-guided radiotherapy for prostate cancer: Repeatability, reproducibility, and within-subject agreement.', 'Sources of variation in multicenter rectal MRI data and their effect on radiomics feature reproducibility.', 'Precision of MRI radiomics features in the liver and hepatocellular carcinoma.', 'Reproducibility of Lung and Liver Volume Measurements on Fetal Magnetic Resonance Imaging in Left-Sided Congenital Diaphragmatic Hernia.']"""
2,2,"""https://pubmed.ncbi.nlm.nih.gov/36600615""","""https://doi.org/10.1136/jmg-2022-108607""","""36600615""","""10.1136/jmg-2022-108607""","""Experience using singleton exome sequencing of probands as an approach to preconception carrier screening in consanguineous couples""","""Background:   Consanguineous couples have an increased risk of severe diseases in offspring due to autosomal recessive disorders. Exome sequencing (ES) offers the possibility of extensive preconception carrier screening (PCS) in consanguineous couples who may be at risk of rare genetic disorders.  Methods:   We retrospectively analysed ES data from 65 probands affected with rare genetic disorders born from consanguineous couples. We explored diagnostic yield and carrier status for recessive disorders.  Results:   The overall diagnostic yield in a singleton approach was 53.8%, mostly recessive variants. In a hypothetical exome-based PCS, only 11.7% of these causative rare variants would have been missed in the filtering process. Carrier screening for recessive conditions allowed the identification of at least one additional pathogenic or likely pathogenic variant in 85.7% of the probands, being the majority with a gene carrier frequency <1 in 200. In addition, considering only clinically actionable conditions, we estimated that 12.3% of our close consanguineous couples may be at risk for an additional recessive disease.  Conclusions:   Our results demonstrate that ES outperforms panel-based screening in a PCS context in consanguineous couples and could potentially increase their reproductive autonomy and facilitate informed decision-making.""","""['Anna Abulí', 'Mar Costa-Roger', 'Marta Codina-Solà', 'Irene Valenzuela', 'Jordi Leno-Colorado', 'Eulàlia Rovira-Moreno', 'Anna Cueto-González', 'Paula Fernández-Álvarez', 'Elena García-Arumí', 'Ivon Cuscó', 'Eduardo F Tizzano']""","""["" Department of Clinical and Molecular Genetics, Hospital Universitari Vall d'Hebron, Barcelona, Spain anna.abuli@vallhebron.cat."", "" Medicine Genetics Group Vall d'Hebron Research Institute (VHIR), Barcelona, Spain."", "" Department of Clinical and Molecular Genetics, Hospital Universitari Vall d'Hebron, Barcelona, Spain."", ' Centro de Investigación Biomédica en Red de Enfermedades Raras (CIBERER), Instituto de Salud Carlos III, Barcelona, Spain.']""","""2022""","""2022 Dec""","""J Med Genet""","""['Diagnostic exome-based preconception carrier testing in consanguineous couples: results from the first 100 couples in clinical practice.', 'Parental exome analysis identifies shared carrier status for a second recessive disorder in couples with an affected child.', 'First steps in exploring prospective exome sequencing of consanguineous couples.', 'Preconception genome medicine: current state and future perspectives to improve infertility diagnosis and reproductive and health outcomes based on individual genomic data.', 'Preconception risk assessment for thalassaemia, sickle cell disease, cystic fibrosis and Tay-Sachs disease.']"""
3,3,"""https://pubmed.ncbi.nlm.nih.gov/36599740""","""https://doi.org/10.1016/j.jos.2022.12.011""","""36599740""","""10.1016/j.jos.2022.12.011""","""Effectiveness of gelatin matrix with human thrombin for reducing blood loss in palliative decompressive surgery with posterior spinal fusion for metastatic spinal tumors""","""Background:   This study aimed to investigate the effect of gelatin matrix with human thrombin (GMHT) on blood loss and survival time in patients with metastatic spinal tumors treated with palliative decompression surgery with posterior spinal fusion.  Methods:   We retrospectively reviewed 67 consecutive patients with metastatic spinal tumors who underwent palliative decompression surgery with posterior spinal fusion. We compared patients in whom GMHT was not used during surgery with those in whom GMHT was used. The following baseline characteristics were evaluated: age, height, weight, sex, metastatic tumor diagnosis, medical history, use of antiplatelet drug, use of anticoagulant drug, use of NSAIDs, smoking, preoperative PLT value, preoperative APTT, preoperative PT-INR, Karnofsky Performance Status score, Charlson comorbidities index score, the percentage of patients who received perioperative chemotherapy, main tumor level, Frankel category, revised Tokuhashi score, spinal instability neoplastic score (SINS), number of fusion segments, operation time, intraoperative blood loss, drainage blood loss, red blood cell transfusion, hemoglobin level, total protein (TP), albumin values, total blood loss (TBL), hidden blood loss, postoperative bed rest and postoperative survival time. Perioperative complications were assessed.  Results:   Age, height, weight, sex, metastatic tumor diagnosis, medical history, use of antiplatelet drug, use of anticoagulant drug, use of NSAIDs, smoking, preoperative PLT value, preoperative APTT, preoperative PT-INR, CCI score, main level of tumors, SINS score, preoperative Tokuhashi score and number of fusion segments did not differ significantly between the two groups. Operation time, intraoperative blood loss, postoperative drainage blood loss, and TBL were significantly decreased in the group with GMHT than in the group without GMHT. The total number of perioperative complications was significantly lesser in the group with GMHT than in the group without GMHT. The median postoperative survival time was significantly longer in the GMHT group than in the group without GMHT.  Conclusion:   GMHT should be considered a valid option for the treatment of patients with metastatic spinal tumors with a short life expectancy.""","""['Masashi Miyazaki', 'Toshinobu Ishihara', 'Tetsutaro Abe', 'Shozo Kanezaki', 'Hiroshi Tsumura']""","""[' Department of Orthopaedic Surgery, Faculty of Medicine, Oita University, Oita, Japan. Electronic address: masashim@oita-u.ac.jp.', ' Department of Orthopaedic Surgery, Faculty of Medicine, Oita University, Oita, Japan.']""","""2023""","""2023 Jan""","""J Orthop Sci""","""['Clinical results of multidisciplinary therapy including palliative posterior spinal stabilization surgery and postoperative adjuvant therapy for metastatic spinal tumor.', 'Comparison between minimally invasive spine stabilization with and without posterior decompression for the management of spinal metastases: a retrospective cohort study.', 'Prognostic factors and its predictive value in patients with metastatic spinal cancer.', 'Metastatic spinal cord compression (MSCC) treated with palliative decompression: Surgical timing and survival rate.', 'Pediatric cervical kyphosis in the MRI era (1984-2008) with long-term follow up: literature review.']"""
4,4,"""https://pubmed.ncbi.nlm.nih.gov/36595132""","""https://doi.org/10.1007/s11121-022-01487-w""","""36595132""","""10.1007/s11121-022-01487-w""","""Bullying Experiences of South Asian Immigrants in Australia: a Mixed-Method Study""","""Bullying is a pervasive problem faced by immigrants that negatively impacts their health and well-being. Understanding the factors that contribute to bullying and the prevalence of bullying victimisation may help to develop strategies to prevent bullying. Using a mixed-method approach, this study explored the perceptions and prevalence of bullying of South Asian immigrants living in Australia. Five focus group discussions (FGDs) were conducted to explore bullying experiences and to inform an online survey. The online survey included the California Bullying Victimisation Scale-Retrospective (CBVS-R) to measure prevalence, types, and places of bullying victimisation. Data collected from FGDs were thematically analysed while survey data were examined to identify factors associated with bullying. The main contributing factors reported by participants during FGDs were ethnic attire (clothing), religion, accent, workplace achievement, skin colour, and body shape. The online survey collected responses from 313 participants that included females (44%) and males (56%) with a mean age of 41.0 (SD ± 10.3) years. Almost 31% of participants surveyed experienced multiple bullying incidents per month with no differences observed between gender (32% in males, 31% in females). Males were mostly bullied (63%) in their workplaces while females were mostly bullied (56%) at bus or train stations. Country of birth, employment status, educational qualification, and English proficiency significantly associated with bullying experience (p < 0.001). These findings show that bullying affects male and female immigrants in different forms and settings; therefore, a large national assessment is needed to evaluate the magnitude of bullying and its consequences on immigrant health and well-being.""","""['Mehwish Nisar', 'Tracy L Kolbe-Alexander', 'Asaduzzaman Khan']""","""[' School of Health and Rehabilitation Sciences, The University of Queensland, Brisbane, QLD, 4072, Australia. m.nisar@uq.net.au.', ' School of Health and Medical Sciences, Centre for Health Research, University of Southern Queensland, Toowoomba, Australia.', ' Division of Exercise Science and Sports Medicine, Department of Human Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa.', ' School of Health and Rehabilitation Sciences, The University of Queensland, Brisbane, QLD, 4072, Australia.']""","""2023""","""2023 Jan""","""Prev Sci""","""['Retrospective bullying trajectories in adults with self-reported oral language difficulties.', ""'Cost, culture and circumstances': Barriers and enablers of health behaviours in South Asian immigrants of Australia."", 'Prevalence of traditional bullying and cyberbullying among children and adolescents in Australia: A systematic review and meta-analysis.', 'Interventions for prevention of bullying in the workplace.', 'Annual Research Review: The persistent and pervasive impact of being bullied in childhood and adolescence: implications for policy and practice.']"""
5,5,"""https://pubmed.ncbi.nlm.nih.gov/36591799""","""https://doi.org/10.4149/neo_2022_220314n281""","""36591799""","""10.4149/neo_2022_220314N281""","""Correlation between gastritis cystica profunda and the risk of lymph node metastasis in early gastric cancer""","""In early gastric cancer (EGC) patients, lymph node metastasis (LNM) risk assessment is particularly important for the selection of surgical methods. In this study, we investigated the correlation between gastritis cystica profunda (GCP) and the risk of LNM in EGC. From January 2014 to December 2019, EGC patients who underwent curative radical gastrectomy were enrolled in this study. The clinicopathological features were analyzed, and the correlation between GCP and the risk of lymph node metastasis was assessed. Data for 180 EGC patients were analyzed, and 17.8% (32/180) had LNM. The incidence of LNM was 2.6% in the GCP-positive group and 21.8% in the GCP-negative group. Univariate analysis revealed that GCP, depth of tumor invasion, and lymphovascular invasion were the risk factors of LNM in EGC patients. Multiple regression analysis showed that GCP was associated with the risk of LNM in EGC patients (OR=0.097, 0.121, 0.100, p<0.05). The curve fitting results showed that there was a negative correlation between the GCP and LNM in EGC, which was consistent between different tumor sites, size, ulceration, differentiation types, depth of tumor invasion, lymphovascular invasion, and no significant interaction was found among these factors (p for interaction range 0.224-0.717). GCP is closely related to LNM in EGC. Preoperative assessment of whether EGC is combined with GCP is beneficial for the assessment of the risk of LNM.""","""['Jia-Jia Wu', 'Yu-Qing Cheng', 'Hao-Jun Yang', 'Min Lin']""","""["" Department of Gastroenterology, The Affiliated Changzhou No.2 People's Hospital of Nanjing Medical University, Changzhou, China."", "" Department of Pathology, The Affiliated Changzhou No.2 People's Hospital of Nanjing Medical University, Changzhou, China."", "" Department of General Surgery, The Affiliated Changzhou No.2 People's Hospital of Nanjing Medical University, Changzhou, China.""]""","""2022""","""2022 Dec""","""Neoplasma""","""['Lymph node metastasis in differentiated-type early gastric cancer: a single-center retrospective analysis of surgically resected cases.', 'Feasibility of endoscopic treatment and predictors of lymph node metastasis in early gastric cancer.', 'Analysis of lymph node metastasis in early gastric cancer: a single institutional experience from China.', 'Lymph node metastasis in early gastric cancer.', 'Predictive Factors for Lymph Node Metastasis in Undifferentiated Early Gastric Cancer: a Systematic Review and Meta-analysis.']"""
6,6,"""https://pubmed.ncbi.nlm.nih.gov/36591736""","""https://doi.org/10.36740/wlek202211105""","""36591736""","""10.36740/WLek202211105""","""FEMOROPOPLITEAL ANGIOPLASTY VS OPEN SURGERY FOR CHRONIC LIMB-THREATENING ISCHEMIA""","""Objective:   The aim: To compare the results of femoro-popliteal PTA vs open surgery in chronic limb-threatening ischemia (CLTI) and analyze clinical efficacy long-term results.  Patients and methods:   Materials and methods: Between 2018 - 2019, 145 patients with CLTI who underwent femoro-popliteal arterial segment steno-occlusive lesions (SOL) unilateral revascu¬larization. Open surgery were performed for - 48 (33, 1℅), percutaneous transluminal angioplasty (PTA) for - 73 (50.3%), and were treated with hybrid surgical interventions for - 24 (16.6%).  Results:   Results: During the analysis, no statistically significant difference was found among the three groups patients indicators. According to the diabetes patients indicator, the differences among the groups are statistically significant (p<0.001), diabetes was present in only 16.7% of open surgical intervention group patients, 45.8% of PTA group patients, 54.8% of the hybrid surgery group patients. In the overall comparison 2-year limb preservation after open surgery 93.8%, after PTA 91.7%, and after hybrid surgery 91.6%; amputations: open surgery - 6.2% PTA- 8.2 %, hybrid surgery -8.3%; exemption from surgical re-intervention: open surgery - 68.7%, PTA- 58.9%, hybrid surgery - 75%. There were no differences in limb preservation and amputation between open surgery, hybrid intervention, and PTA. A difference was found only in reintervention tactic among the open surgery and PTA groups as opposed to the hybrid surgery.  Conclusion:   Сonclusions: Limb salvage and CLTI patients survival after open surgery and PTA who were not performed major amputation in 2 years term after revascularization were comparable regardless of treatment method.""","""['Oleksandr A Holyachenko', 'Anatolii M Kravchenko', 'Andrii O Golyachenko', 'Vitaliy G Gurianov', 'Ivan V Karol']""","""[' STATE INSTITUTION OF SCIENCE «RESEARCH AND PRACTICAL CENTER OF PREVENTIVE AND CLINICAL MEDICINE» STATE ADMINISTRATIVE DEPARTMENT, KYIV, UKRAINE.', ' I. HORBACHEVSKY TERNOPIL NATIONAL MEDICAL UNIVERSITY, TERNOPIL, UKRAINE.', ' BOGOMOLETS NATIONAL MEDICAL UNIVERSITY, KYIV, UKRAINE.', ' SHUPYK NATIONAL HEALTHCARE UNIVERSITY OF UKRAINE, KYIV, UKRAINE; CNE «BROVARY MULTIDISCIPLINARY CLINICAL HOSPITAL», BROVARY, UKRAINE.']""","""2022""","""2022;75(""","""Wiad Lek""","""['Comparison of Long Term Outcomes After Endovascular Treatment Versus Bypass Surgery in Chronic Limb Threatening Ischaemia Patients with Long Femoropopliteal Lesions.', 'Angioplasty versus stenting for infrapopliteal arterial lesions in chronic limb-threatening ischaemia.', 'Outcomes after first-time lower extremity revascularization for chronic limb-threatening ischemia in insulin-dependent diabetic patients.', 'Outcome after Hybrid Outflow Interventions for Chronic Limb-threatening Ischemia.', 'A systematic review and meta-analysis of revascularization outcomes of infrainguinal chronic limb-threatening ischemia.']"""
7,7,"""https://pubmed.ncbi.nlm.nih.gov/36591735""","""https://doi.org/10.36740/wlek202211104""","""36591735""","""10.36740/WLek202211104""","""FINE-NEEDLE ANGIOGRAPHY IN CHRONIC LIMB-THREATENING ISCHEMIA DIABETIC PATIENTS""","""Objective:   The aim: The features and efficiency of performing fine-needle angiography for Chronic Limb-Threatening Ischemia (CLTI) in Diabetic Patients diagnosis.  Patients and methods:   Materials and methods: From 2015-2020, a total of 180 angiography procedures were performed in below-the-knee (BTK) arterial disease diabetic patients with CLTI (Rutherford category 4 to 6). Relative contraindications such as severe heart failure, myocardial infarction (MI), arterial hypertension, impaired renal function, allergy to contrast media and intolerance to antiplatelet therapy we carefully evaluated and compared with the major amputation risks. Patients were selected with adequate inflow to the common and popliteal arterys, as defined by presence of normal ipsilateral femoral and popliteal pulse, biphasic or triphasic Doppler waveform. Ultrasound controlled fine-needle angiography, by retrograde puncture of the superficial femoral artery (SFA) was performed with an 18G-70mm angiographic needle in 96 patients (1st group). Antegrade angiography using femoral sheath in 84 patients (2nd group).  Results:   Results: We have obtained adequate visualization BTK vessels by administering ""Omnipak 300"" 70% solution 9 mL with a power injector at a 3 mL/sec rate through the needle. Through the sidearm of the femoral sheath a total of contrast 15 mL, administered at 5 mL/sec rate. Fine-needle angiography 2.16 times reduces the injected contrast amount in patients. The hemorrhagic events frequency in the 1st group was significantly lower.  Conclusion:   Conclusions: Fine-needle angiography is recommended for CLTI Diabetic Patients diagnosis.""","""['Sergii N Didenko', 'Andrii V Ratushniuk', 'Oleksandr V Liksunov', 'Oleksandr M Orlych', 'Yurii M Hupalo', 'Dmytro A Makivchuk']""","""[' CLINICAL HOSPITAL «FEOFANIYA» STATE ADMINISTRATIVE DEPARTMENT, KYIV, UKRAINE.', ' STATE INSTITUTION ""NATIONAL INSTITUTE OF SURGERY AND TRANSPLANTOLOGY N.A. O. SHALIMOV NATIONAL MEDICAL SCIENCES ACADEMY OF UKRAINE"", KYIV, UKRAINE.', ' KYIV CITY CLINICAL HOSPITAL № 1, KYIV, UKRAINE.', ' STATE INSTITUTION OF SCIENCE «RESEARCH AND PRACTICAL CENTER OF PREVENTIVE AND CLINICAL MEDICINE» STATE ADMINISTRATIVE DEPARTMENT, KYIV, UKRAINE.']""","""2022""","""2022;75(""","""Wiad Lek""","""['Intravascular Ultrasound-Guided Interventions for Below-the-Knee Disease in Patients With Chronic Limb-Threatening Ischemia.', '""The Renal Foot"" - Angiographic Pattern of Patients with Chronic Limb Threatening Ischemia and End-Stage Renal Disease.', 'Effectiveness of combined superficial femoral artery endovascular therapy with popliteal-to-distal bypass: A paradigm shift in surgical open bypass for chronic limb-threatening ischemia.', 'Retrograde Popliteal Access to Percutaneous Peripheral Intervention for Chronic Total Occlusion of Superficial Femoral Arteries.', 'Retrograde Popliteal Access and Balloon Dilatation of Chronic Total Occlusion of Superficial Femoral Arteries.']"""
8,8,"""https://pubmed.ncbi.nlm.nih.gov/36591734""","""https://doi.org/10.36740/wlek202211103""","""36591734""","""10.36740/WLek202211103""","""ANALYSIS OF INDICATORS OF THE DYNAMICS AND PREVALENCE OF THE MAIN CLASSES OF CHRONIC NON-INFECTIOUS DISEASES (ON THE EXAMPLE OF THE ANALYSIS OF THE WORK INDICATORS OF A MULTIPROFESSIONAL HEALTH CARE FACILITY)""","""Objective:   The aim: To conduct an analysis of the dynamics and prevalence of the main classes of chronic non-infectious diseases of the population contingent attached to a multidisciplinary health care institution, to determine the main predictive trends of morbidity for the formation of a strategy for the prevention of the development of these pathologies and their complications.  Patients and methods:   Materials and methods: We used methods of structural and logical analysis, bibliosemantic. In the course of the research, we analyzed individual indicators of the health status of patients over 18 years of age, who are attached for medical care to the SIS «Research and Practical Center of Preventive and Clinical Medicine» SAD, and constructed predictive trends for 5 years.  Results:   Results: The conducted retrospective analysis made it possible to state that the health of the adult population, which is attached for medical care to the SIS RPCPCM SAD during 2009-2021, is stable, without negative dynamics and a forecast expectation of deterioration over the next 5 years, which is confirmed by the analysis of forecast trends of dynamic changes in indicators of general and primary morbidity, as well as the prevalence of diseases.  Conclusion:   Conclusions: The stability of the dynamics of indicators of the total incidence of the most common nosological forms of diseases of the main rating classes of diseases indicates the effectiveness of preventive measures, detection of bridges and early diagnosis of diseases among the attached contingent.""","""['Dmytro D Diachuk', 'Anna S Zdelova', 'Yurii B Yashchenko', 'Rimma P Tkachenko', 'Volodymyr Y Burko']""","""[' STATE INSTITUTION OF SCIENCE «RESEARCH AND PRACTICAL CENTER OF PREVENTIVE AND CLINICAL MEDICINE» STATE ADMINISTRATIVE DEPARTMENT, KYIV, UKRAINE.']""","""2022""","""2022;75(""","""Wiad Lek""","""['Retrospective analysis of the incidence rate of the population in the Republic of Tatarstan with diseases of the endocrine system.', 'Suicidal Ideation.', 'Health state of adolescents in the Republic Sakha (Yakutia).', 'The estimation of economic effectiveness of preventive measures of non-infectious diseases.', 'Assessing the quality of healthcare provided to children.']"""
9,9,"""https://pubmed.ncbi.nlm.nih.gov/36591714""","""None""","""36591714""","""None""","""Cost analysis of pathology services comparing conventional 6-core transrectal biopsy versus transperineal saturation biopsy in diagnosing prostate cancer""","""Introduction:   Patients who are suspected of having prostate cancer from screening tests require a tissue biopsy to confirm the presence of cancer. This study aims to compare the cost and cancer detection rate of two different biopsy protocols: 6-core transrectal (TR) approach, and transperineal (TP) saturation biopsy.  Methods:   In this descriptive, retrospective study, we selected all prostate biopsies received by the diagnostic pathology department of a tertiary hospital in Malaysia in the year 2020, from adult patients for analysis. Data on demographics, specimen preparation processes, and final histopathological diagnosis was extracted from the Laboratory Information System (LIS). The cost incurred for each biopsy diagnosed as cancer was calculated with the cost prices referenced from laboratory documentation. Statistical analysis was performed using SPSS, version 28.  Results:   The total cost for detection of cancer using TR biopsy ranged from RM11.22 - RM271.02 with mean of RM47.53. The standard deviation, s is RM43.45. For TP biopsies, the total cost ranged from RM112.20 - RM349.56 with mean of RM160.85, standard deviation of RM80.37. TR biopsies had a detection rate of 43.2%, while TP biopsies had a 24.2% cancer detection rate. There is a 3.38-fold increase in costs between TR and TP biopsy.  Conclusion:   The results show a 3.38-fold increase in costs and a reduction in cancer detection rate when comparing TR and TP biopsy. The reason for the reduced detection rate is unascertained in this study.""","""['J H Tham', 'L M Looi', 'R Ghazali']""","""[' Hospital Kuala Lumpur, Histopathology Unit, Dept. of Pathology, Malaysia. joonhtham@gmail.com.', ' University of Malaya, Faculty of Medicine, Department of Pathology, Kuala Lumpur, Malaysia.', ' Hospital Kuala Lumpur, Histopathology Unit, Dept. of Pathology, Malaysia.']""","""2022""","""2022 Dec""","""Malays J Pathol""","""['The eternal enigma in prostatic biopsy access route.', 'The results of transperineal versus transrectal prostate biopsy: a systematic review and meta-analysis.', 'Comparisons of cancer detection rate and complications between transrectal and transperineal prostate biopsy approaches - a single center preliminary study.', 'Direct comparison between transrectal and transperineal extended prostate biopsy for the detection of cancer.', 'Should Transperineal Prostate Biopsy Be the Standard of Care?']"""
